2022-23 Dropout Report (District) All Students,,,,,,,,
District Name,District Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
North Middlesex,07350000,     769,      10,   1.3,   1.6,   0.9,   1.6,   1.1
North Reading,02170000,     643,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Northampton,02100000,     892,       4,   0.4,   0.5,   0.0,   1.0,   0.4
Northampton-Smith Vocational Agricultural,04060000,     566,       5,   0.9,   0.0,   0.7,   1.5,   1.5
Northboro-Southboro,07300000,"   1,201",       5,   0.4,   0.4,   0.3,   0.6,   0.3
Northbridge,02140000,     513,      13,   2.5,   4.5,   2.4,   0.9,   1.6
Northeast Metropolitan Regional Vocational Technical,08530000,"   1,292",       7,   0.5,   0.3,   0.9,   1.0,   0.0
Northern Berkshire Regional Vocational Technical,08510000,     537,       4,   0.7,   0.0,   1.4,   0.8,   0.8
Norton,02180000,     675,      13,   1.9,   0.6,   3.0,   1.8,   2.5
Norwell,02190000,     602,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Norwood,02200000,     937,       8,   0.9,   1.0,   1.2,   0.0,   1.2
Old Colony Regional Vocational Technical,08550000,     561,       1,   0.2,   0.0,   0.0,   0.0,   0.7
Old Rochester,07400000,     621,       1,   0.2,   0.0,   0.0,   0.7,   0.0
Oxford,02260000,     378,       7,   1.9,   1.0,   1.0,   2.2,   3.6
Palmer,02270000,     264,       8,   3.0,   1.6,   1.4,   7.7,   1.6
Pathfinder Regional Vocational Technical,08600000,     640,       9,   1.4,   0.5,   1.8,   1.3,   2.3
Paulo Freire Social Justice Charter School (District),35010000,     261,      41,  15.7,   8.5,  19.7,  10.9,  20.3
Peabody,02290000,"   1,520",      29,   1.9,   0.6,   1.1,   3.1,   2.8
Pembroke,02310000,     724,       2,   0.3,   0.0,   1.0,   0.0,   0.0
Pentucket,07450000,     591,       4,   0.7,   0.0,   0.0,   1.4,   1.3
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,     203,      78,  38.4,  32.0,,  28.2,  50.0
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,     125,      52,  41.6,  18.3,,  37.1,
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,     166,      50,  30.1,  29.2,,  20.3,
