"","City","Year","Median Price","Days on Market","One-Year % Change in Price","Five-Year % Change in Price","Ten-Year % Change in Price"
"405","North Reading",2018,555000,43,NA,NA,NA
"406","Norton",2018,379000,55,NA,NA,NA
"407","Norwell",2018,637500,75,NA,NA,NA
"408","Norwood",2018,475000,33,NA,NA,NA
"409","Peabody",2018,445000,30,NA,NA,NA
"410","Pembroke",2018,400000,72,NA,NA,NA
"411","Pepperell",2018,350000,46,NA,NA,NA
"412","Plainville",2018,362500,54,NA,NA,NA
"413","Plymouth",2018,380000,72,NA,NA,NA
"414","Plympton",2018,430000,77,NA,NA,NA
"415","Quincy",2018,493750,38,NA,NA,NA
"416","Randolph",2018,375000,34,NA,NA,NA
"417","Raynham",2018,420500,57,NA,NA,NA
"418","Reading",2018,625000,35,NA,NA,NA
"419","Revere",2018,435500,33,NA,NA,NA
"420","Rockland",2018,340000,39,NA,NA,NA
"421","Rockport",2018,625000,92,NA,NA,NA
"422","Rowley",2018,533000,45,NA,NA,NA
"423","Salem",2018,425000,39,NA,NA,NA
"424","Salisbury",2018,409000,75,NA,NA,NA
"425","Saugus",2018,445000,36,NA,NA,NA
"426","Scituate",2018,589500,69,NA,NA,NA
"427","Sharon",2018,530000,52,NA,NA,NA
"428","Sherborn",2018,844000,115,NA,NA,NA
"429","Shirley",2018,378500,53,NA,NA,NA
"430","Somerville",2018,795000,36,NA,NA,NA
"431","Southboro",2018,630000,56,NA,NA,NA
"432","Stoneham",2018,560000,34,NA,NA,NA
"433","Stoughton",2018,380000,38,NA,NA,NA
"434","Stow",2018,566250,57,NA,NA,NA
"435","Sudbury",2018,749950,67,NA,NA,NA
"436","Swampscott",2018,580000,63,NA,NA,NA
"437","Taunton",2018,313000,49,NA,NA,NA
"438","Tewksbury",2018,439000,36,NA,NA,NA
"439","Topsfield",2018,597500,63,NA,NA,NA
"440","Townsend",2018,303500,51,NA,NA,NA
"441","Tyngsborough",2018,430000,36,NA,NA,NA
"442","Wakefield",2018,555000,30,NA,NA,NA
"443","Walpole",2018,545000,45,NA,NA,NA
"444","Waltham",2018,607500,32,NA,NA,NA
"445","Watertown",2018,670000,26,NA,NA,NA
"446","Wayland",2018,787000,57,NA,NA,NA
"447","Wellesley",2018,1437500,70,NA,NA,NA
"448","Wenham",2018,699900,94,NA,NA,NA
"449","West Bridgewater",2018,369000,49,NA,NA,NA
"450","West Newbury",2018,553650,92,NA,NA,NA
"451","Westford",2018,585000,45,NA,NA,NA
"452","Weston",2018,1537500,130,NA,NA,NA
"453","Westwood",2018,780000,58,NA,NA,NA
"454","Weymouth",2018,410000,39,NA,NA,NA
"455","Whitman",2018,330500,40,NA,NA,NA
"456","Wilmington",2018,537950,39,NA,NA,NA
"457","Winchester",2018,1189500,57,NA,NA,NA
"458","Winthrop",2018,523000,38,NA,NA,NA
"459","Woburn",2018,499950,33,NA,NA,NA
"460","Wrentham",2018,500000,52,NA,NA,NA
"461","Abington",2019,411099,46,4,24,39
"462","Acton",2019,640932,52,-1,9,13
"463","Amesbury",2019,448377,52,15,34,33
"464","Andover",2019,734152,60,11,14,24
"465","Arlington",2019,893616,28,11,155,72
"466","Ashby",2019,296438,72,5,33,45
"467","Ashland",2019,512857,35,10,24,44
"468","Attleboro",2019,364267,49,10,31,35
"469","Avon",2019,359318,43,3,32,48
"470","Ayer",2019,387906,50,8,29,28
"471","Bedford",2019,928313,54,27,29,55
"472","Bellingham",2019,366899,45,9,23,30
"473","Belmont",2019,1265268,40,9,25,66
"474","Beverly",2019,612852,48,31,32,35
"475","Billerica",2019,485370,47,8,31,48
