2023-24 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Greater Fall River Regional Vocational Technical,08210000,     143.1,  97.2,  10.1 to 1,  87.4,  83.2,
Greater Lawrence Regional Vocational Technical,08230000,     165.0,  95.8,  10.8 to 1,  81.8,  75.8,
Greater Lowell Regional Vocational Technical,08280000,     212.5, 100.0,  10.9 to 1,  85.7,  83.4,
Greater New Bedford Regional Vocational Technical,08250000,     196.6,  98.5,  10.9 to 1,  83.2,  89.3,
Greenfield,01140000,     129.7,  94.5,  10.9 to 1,  76.9,  91.5,
Groton-Dunstable,06730000,     184.7, 100.0,  12.5 to 1,  90.8,  95.7,
Hadley,01170000,      55.0, 100.0,   9.1 to 1,  90.0,  94.5,
Halifax,01180000,      39.6, 100.0,  13.9 to 1,  93.2,  99.2,
Hamilton-Wenham,06750000,     148.1,  99.3,  11.2 to 1,  87.8,  98.0,
Hampden Charter School of Science East (District),04990000,      47.0,  93.6,  11.8 to 1,  59.6,  80.9,
Hampden Charter School of Science West (District),35160000,      35.6,  91.6,  11.1 to 1,  63.5,  64.9,
Hampden-Wilbraham,06800000,     202.6,  99.5,  14.0 to 1,  94.2,  98.6,
Hampshire,06830000,      69.8, 100.0,   9.9 to 1,  95.0,  93.0,
Hancock,01210000,       7.8,  87.2,   7.4 to 1,  97.4,  84.6,
Hanover,01220000,     197.5,  99.5,  13.2 to 1,  91.3,  97.7,
Harvard,01250000,      88.3,  98.9,  11.5 to 1,  88.7,  93.2,
Hatfield,01270000,      39.5,  97.5,   8.2 to 1,  79.5,  89.9,
Haverhill,01280000,     668.5,  99.0,  11.8 to 1,  79.8,  92.9,
Hawlemont,06850000,       9.0, 100.0,   6.2 to 1,  77.8, 100.0,
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      13.3,  62.4,   7.1 to 1,  17.3,  71.4,
Hill View Montessori Charter Public (District),04550000,      22.7,  63.5,  13.4 to 1,  50.3, 100.0,
Hilltown Cooperative Charter Public (District),04500000,      21.3,  88.5,  10.3 to 1,  83.5,  90.6,
Hingham,01310000,     307.5,  98.7,  12.1 to 1,  91.7,  97.9,
Holbrook,01330000,     101.5, 100.0,  12.9 to 1,  82.2,  96.5,
Holland,01350000,      21.0, 100.0,  10.8 to 1,  81.0,  95.2,
Holliston,01360000,     211.3,  99.3,  12.9 to 1,  84.9,  93.3,
Holyoke,01370000,     418.9,  90.7,  11.7 to 1,  54.0,  92.7,
Holyoke Community Charter (District),04530000,      35.0,  81.4,  19.8 to 1,  68.6,  88.6,
Hoosac Valley Regional,06030000,      92.6,  96.9,  10.6 to 1,  80.5,  95.1,
Hopedale,01380000,      98.0, 100.0,  11.2 to 1,  82.2,  91.4,
Hopkinton,01390000,     292.2,  99.8,  14.3 to 1,  91.6,  96.7,
Hudson,01410000,     233.4,  95.9,  10.0 to 1,  86.5,  98.3,
Hull,01420000,      79.0, 100.0,   9.6 to 1,  85.1,  96.2,
Innovation Academy Charter (District),04350000,      70.9,  85.2,  11.1 to 1,  66.5,  83.6,
Ipswich,01440000,     162.3,  99.3,   9.9 to 1,  89.1,  97.2,
KIPP Academy Boston Charter School (District),04630000,      54.5,  67.0,  10.8 to 1,  42.6,  91.7,
KIPP Academy Lynn Charter (District),04290000,     116.4,  65.4,  13.9 to 1,  43.6,  89.6,
King Philip,06900000,     141.1,  99.3,  13.1 to 1,  89.4,  95.7,
Kingston,01450000,      79.4, 100.0,  15.9 to 1,  84.0,  96.9,
Lawrence,01490000,"   1,149.5",  92.0,  11.3 to 1,  60.8,  89.9,
Lawrence Family Development Charter (District),04540000,      68.0,  88.2,  12.9 to 1,  33.8,  89.7,
Learning First Charter Public School (District),04860000,      35.0,  94.3,  19.1 to 1,  42.9,  68.6,
Lee,01500000,      72.3,  97.2,   8.9 to 1,  82.0,  93.1,
Leicester,01510000,     108.6,  99.8,  12.2 to 1,  78.5,  93.5,
Lenox,01520000,      81.9,  98.8,   9.6 to 1,  90.0,  95.9,
Leominster,01530000,     440.3,  98.6,  13.7 to 1,  79.2,  92.0,
Leverett,01540000,      15.5, 100.0,   9.2 to 1,  74.1,  93.5,
Lexington,01550000,     649.5,  99.5,  10.5 to 1,  85.9,  96.4,
Libertas Academy Charter School (District),35140000,      53.1,  54.3,   9.8 to 1,  31.2,  94.3,
Lincoln,01570000,     118.1, 100.0,   8.7 to 1,  85.4,  95.9,
Lincoln-Sudbury,06950000,     128.7, 100.0,  11.4 to 1,  93.3,  93.8,
Littleton,01580000,     123.2, 100.0,  13.6 to 1,  86.4,  94.6,
Longmeadow,01590000,     244.5,  99.2,  11.3 to 1,  93.0,  96.4,
Lowell,01600000,"   1,161.6",  96.8,  12.3 to 1,  79.9,  91.7,
Lowell Community Charter Public (District),04560000,      68.6, 100.0,  11.9 to 1,  64.7,  95.6,
Lowell Middlesex Academy Charter (District),04580000,       6.9,  56.2,  15.5 to 1,  56.2,  56.2,
Ludlow,01610000,     194.6,  97.9,  11.6 to 1,  92.3,  99.0,
Lunenburg,01620000,     114.0,  99.1,  13.9 to 1,  88.4,  97.4,
Lynn,01630000,"   1,312.1",  95.8,  12.2 to 1,  67.5,  90.2,
Lynnfield,01640000,     160.1,  99.4,  13.7 to 1,  92.7,  96.9,
Ma Academy for Math and Science,04680000,       6.0, 100.0,  16.2 to 1, 100.0, 100.0,
Malden,01650000,     463.4,  98.6,  13.6 to 1,  77.8,  92.9,
Manchester Essex Regional,06980000,     124.8, 100.0,   9.6 to 1,  88.7,  93.9,
Mansfield,01670000,     296.7, 100.0,  11.4 to 1,  92.6,  97.9,
