Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Athol,21.06,0.09,0.09,,0.68,0.68,,0.17,,,,0.17,10.62,3.34,0.09,0.68,1.28,1.28,7.28,1.11,0.51,0.6,,8.05,0.34,0.26,,0.09,0,,,2019
Clinton,2.29,0.07,0.07,,,,,,,,,,1.22,0.21,0.07,,,0.14,1,0.07,,0.07,,0.79,0.14,0.14,,,,,,2019
Fitchburg,27.42,0.02,0.02,,0.64,0.59,0.05,0.89,0.22,0.15,0.05,0.47,12.53,3.79,0.57,0.91,1.35,0.96,8.74,2.31,1.45,0.69,0.17,9.85,1.11,0.91,0.1,0.1,0.05,,0.02,2019
Bourne,23.01,,,,0.66,0.66,,0.1,,,0.1,,11.2,1.98,0.25,0.51,1.06,0.15,9.22,2.18,0.61,1.32,0.25,8.21,0.66,0.25,0.15,0.25,,,,2019
Brewster,10.9,,,,0.41,0.41,,,,,,,6.58,2.16,,0.72,1.34,0.1,4.42,0.93,0.41,0.41,0.1,2.88,0.1,0.1,,,,,,2019
Chatham,16.02,,,,0.33,0.33,,0.16,,0.16,,,5.89,0.82,0.16,0.33,0.33,,5.07,1.96,0.49,1.14,0.33,7.68,,,,,,,,2019
Dennis,29.77,,,,1.24,1.24,,0.07,,0.07,,,14.34,5.1,0.44,0.58,2.69,1.38,9.24,3.28,1.46,1.6,0.22,10.48,0.36,0.22,0.07,0.07,,,,2019
Eastham,12.86,,,,0.41,0.41,,,,,,,4.56,0.62,,,0.62,,3.94,0.41,0.21,0.21,,7.26,0.21,0.21,,,,,,2019
Falmouth,27.15,,,,0.52,0.52,,0.16,0.07,0.03,,0.07,14.68,2.86,0.16,0.42,1.53,0.75,11.82,3.68,1.63,1.73,0.33,7.55,0.46,0.42,0.03,,0.1,,,2019
Harwich,15.71,,,,0.17,0.17,,0.08,,,0.08,,6.73,1.58,,0.17,0.58,0.83,5.15,2.16,0.91,1.08,0.17,6.07,0.42,0.42,,,0.08,,,2019
Mashpee,16.67,,,,0.43,0.43,,,,,,,6.81,2.41,0.14,0.64,0.99,0.64,4.4,1.21,0.35,0.57,0.28,7.38,0.85,0.85,,,,,,2019
Orleans,13.41,,,,0.17,0.17,,,,,,,4.35,0.7,,0.35,0.35,,3.66,1.04,0.7,0.35,,7.84,,,,,,,,2019
Provincetown,41.17,,,,0.68,0.68,,0.34,,,,0.34,22.8,4.42,0.34,0.68,2.38,1.02,18.37,2.72,2.04,0.68,,13.95,0.68,0.34,0.34,,,,,2019
Sandwich,11.54,,,,0.25,0.25,,0.05,,0.05,,,6.29,1.7,,0.1,1.6,,4.6,0.8,0.2,0.25,0.35,3.95,0.1,0.1,,,0.1,,,2019
Truro,12.1,,,,0.5,0.5,,,,,,,9.07,2.02,,0.5,1.51,,7.06,,,,,2.52,,,,,,,,2019
Wellfleet,13.31,,,,,,,,,,,,4.07,,,,,,4.07,2.22,1.11,1.11,,7.02,,,,,,,,2019
Yarmouth,21.67,,,,0.82,0.82,,0.13,,0.04,0.04,0.04,10.44,3.21,0.09,0.48,1.08,1.56,7.24,1.65,0.87,0.65,0.13,8.23,0.22,0.22,,,,0.04,0.13,2019
Cape Cod Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MBTA - Barnstable County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Barnstable State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Barnstable State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Adams,22.05,,,,1.25,1.25,,0.25,,0.12,,0.12,8.47,1.74,0.25,0.75,0.75,,6.73,4.24,2.24,1.87,0.12,7.47,0.12,0.12,,,0.25,,,2019
Alford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Becket,10.44,,,,,,,,,,,,8.12,1.74,,0.58,0.58,0.58,6.38,0.58,0.58,,,1.74,,,,,,,,2019
Cheshire,4.15,,,,,,,,,,,,2.87,0.64,,0.32,0.32,,2.23,0.32,0.32,,,0.64,0.32,0,0.32,,,,,2019
Clarksburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Dalton,8.4,,,,0.15,0.15,,,,,,,4.74,0.76,,,0.31,0.46,3.97,1.22,0.46,0.76,,1.83,0.31,0.31,,,0.15,,,2019
Egremont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Great Barrington,9.67,,,,0.29,0.29,,0.15,0.15,,,,4.98,1.17,,0.29,0.44,0.44,3.81,0.73,,0.59,0.15,3.37,,,,,0.15,,,2019
Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Hinsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Lanesboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Lee,18.47,,,,0.53,0.53,,,,,,,6.51,1.23,,0.35,0.53,0.35,5.28,0.88,0.18,0.7,,10.2,0.35,0.35,,,,,,2019
Lenox,18.78,,,,0.4,0.4,,,,,,,4.04,1.01,,0.4,0.61,,3.03,2.22,1.01,0.81,0.4,11.92,0.2,0.2,,,,,,2019
Monterey,5.4,,,,,,,,,,,,1.08,,,,,,1.08,2.16,1.08,1.08,,1.08,1.08,1.08,,,,,,2019
Mount Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
New Ashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
New Marlboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
North Adams,48.36,,,,1.02,1.02,,0.7,,0.31,0.08,0.31,15.31,3.91,0.16,1.17,0.94,1.64,11.41,6.95,3.75,3.05,0.16,23.52,0.86,0.7,0.08,0.08,,,,2019
Otis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Sandisfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Savoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Stockbridge,15.81,,,,,,,,,,,,3.16,0.53,,,,0.53,2.63,2.11,0.53,1.58,,10.01,0.53,0.53,,,,,,2019
Tyringham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
West Stockbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Williamstown,11.59,,,,0.5,0.5,,,,,,,2.24,0.25,,,0.25,,1.99,0.37,0.25,0.12,,8.23,0.25,0.25,,,,,,2019
Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MA College of Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MBTA - Berkshire County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Berkshire State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Berkshire State Police Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Berkshire State Police Northampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Acushnet,8.54,,,,0.47,0.47,,,,,,,4.75,0.66,,,0.38,0.28,4.08,1.33,0.85,0.47,,1.8,0.19,0.19,,,,,,2019
Attleboro,20.91,,,,0.62,0.6,0.02,0.31,0.11,0.04,0.02,0.13,8.25,1.82,0.04,0.44,1.13,0.2,6.43,1.53,0.73,0.58,0.22,9.56,0.58,0.51,0.04,0.02,0.02,0.02,,2019
Berkley,5.88,,,,0.29,0.29,,,,,,,2.65,0.88,,,0.44,0.44,1.76,1.32,0.74,0.15,0.44,1.32,0.15,0.15,,,,0.15,,2019
Dartmouth,24.59,,,,0.12,0.12,,0.47,0.06,0.12,0.06,0.24,8.81,1.67,0.06,0.35,0.88,0.38,7.14,1.18,0.59,0.44,0.15,13.46,0.53,0.47,0.03,0.03,0.03,,,2019
Dighton,7.81,,,,0.13,0.13,,,,,,,4.03,1.13,,0.13,0.88,0.13,2.9,0.63,0.5,0.13,,1.76,1.26,1.13,0.13,,,,,2019
Easton,10.09,0.04,,0.04,0.36,0.36,,0.12,,0.04,0.04,0.04,3.67,1.24,,0.12,0.4,0.72,2.43,0.96,0.68,0.24,0.04,4.43,0.44,0.4,0.04,,0.08,,,2019
Fairhaven,27.63,,,,0.69,0.69,,0.13,0.06,0.06,,,13.38,2.38,0.06,0.56,1.06,0.69,11,1.81,0.81,0.88,0.13,11.19,0.44,0.38,0.06,,,,,2019
Freetown,14.38,,,,0.53,0.53,,0.21,,,,0.21,8.1,0.85,,,0.43,0.43,7.24,1.7,1.38,0.21,0.11,2.98,0.75,0.43,0.11,0.21,0.11,,,2019
